Numéro,Artiste,Paroles
112,poopy,"Variana mieritreritra ny lasany izy
Mieritreritra ny zavatra vita
Maka aina kely mitanondrika ny loha
Inona indray ny zavatra ho hita
Ho vita ve ny androany
Sa ho toy ny omaly ihany
Tsiky kely tsy ilaozan-tomany
Tsy afaka ho aiza moa amin’ny kely mba ananana
Be loatra ny hetraketraky ny tany


Fa rahoviana ihany
No tsy hisy intsony taraina
Hamiratr’indray ny maraina
Hazava indray ilay masoandrony

Toy ny omaly tsy miova ny anio
Fa sasatry ny fiainana
Tsy misy andavan’andro alahady andro fety
Tebiteby no iainana
Tsy kivy anefa izy, tsy miondrika fa vonona
Hitondra sy hizaka izay anjarany
Mifofotra hatrany mba hamela soa sy mamy
Ho an’ireo taranany

Fa mbola miandry ihany
Tsy kivy fa mbola manantena
Tsy maintsy ahazo fandresena
Hiposaka indray ilay masoandrony
http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
113,poopy,"Mangahiahy tsy misy hitarainana
Tsy mana-namana tsy manan-kavana
Toa kamboty zary singan’olona
Mavesatra ny fahanginana

Mifendrofendro toa vonton’ny tomany
Toa fenofeno ery manimanina
I dada sy i neny tsy eo anilany
Tsy hita izay ho sarangotina

Fa firy moa no mba mijery izany
Eny firy koa no mba mamangy azy
Misy ireo miraviravy tànana
Toa mafy fo tsy mba mihantra namana
Fa firy moa no mba mijery izany
Eny firy koa ,o mba manampy azy
Ka tolory tànana ô mba jereo
Fa aza avelanao irery fotsiny eo


Choeur hommes:
Ny endriny tsy mba mitsiky intsony
Fa feno kentrona mieritreritra
Ny ady sy ny tolona atrehany
Mandoro toa afo mirehitra

Ireto manodidina mikipy
Minia miodina tsy mahafantatra
Tsy te hahalala izay mba faniriany
Fa mandry saina sy eritreritra.

Fa efa voasoratra hoe: tiavo ny namanao tahaky ny tenanao


Source: http://www.multimania.com/schmilblik/fitia.html        --------"
114,poopy,"Tonga zao ’lay ora,nandrasantsika ela izay
Androntsika roa zay nanambatra iray ny aiko sy ny anao
Lay bitsiky ny foko,nandrotsirotsy ahy taloha
Indro tonga hira,nampifoha ny mamintsika roa

Manomboka izao dia tsy ho irery intsony ianao
Fo sy saina iray no ho entitsika hamakivaky
Ty fiainana ity (2)

REF:Omeko manontolo,zay mahasoa sy hahasambatra anao
       Mahazo matoky ahy ianao f’izay mamy indrindra izay
       No efa foiko ho anao
       Ny androko rehetra,foiko omeko anao
       Tsy asiko fetra,mba hanjakanao
       Lazao izay sitrakao,izay tianao ambarao
       Omeko anao,satria TIAKO IANAO

Santarintsika izao ny ho avintsika feno fifaliana
Fiainana iriko miankina @Ray Tsitoha
Raha mbola misy toetra iray tsy tianao
Vonona aho ny hiova raha mbola izay no hahasambatra anao

Tsy ho lefitry ny foko raha izaho no hampalahelo anao
Satriko isan’andro tsiky no handravaka
Ny endrikao(2)        --------"
115,poopy,"Mijoro eto aho, izao anio izao
Mba hanambara fa tsara ianao
Raha izay izaho inona moa eto anatrehanao
Nefa tsy haiko ny hangina amin’izao

Fantatro eto f’izaho milaza izany
Tsy nohon’ny saiko amin’ny maha-olona ahy
Fa nomenao tombony aho
Ahafahako mijoro indray
Hanambarako ny hatsaram-ponao

Tsy mbola niova ny toky izay nomenao anay
Fa izahay no ninia tsy hihaino ny teninao
Nefa ianao hatrizay tsy mbola namitaka ahy
Ianao no marina

Indraindray aho mirohirohy fo
Be fanahina toa tsy ampy ilay fitia ilainao
Nefa raha mino Anao
Ho salama ny fanahy
Fa tsara indrindra ny manome am-pitiavana madio

Fa inona tokoa no tsy azo Taminao
Ny asa rehetra ataoko toa mbola arovanao
Ka inona moa no mbola hisalasalako eto indray
Tariho ny foko, hiarahako Aminao

Ny ahiahy rehetra manaloka ny loha
Diovinao raha mino amin’ny fo
Fa tsara indrindra ny fitiavanao        --------"
116,poopy,"he! tsaroana sy tadidy
izay rehetra niarahatsika 
ny fahazazana ny hatanorana
tsaroana sy tadidy
ny andro rehetra nianaratsika
tsy hanao adalana , ho be fahalalana
tsaroana eto avokoa
ny faniriana sy ny vinavina mba samy ho tafita
ny namana tiana
mmh! mmh!
oh! tsaroanay e!

he! mba tsy afaka indrindra
ny sangisangy  sy ny hanihany
niaraha natao , tsy nisy ny tomany
mba tsy afaka indrindra
ny tambitamby sy ny teny mamy
nifanaovatsika tsy hisy toy izany
mitamberina eto izao
ny faniriana sy ny vinavina 
mba samy ho tafita 
ny namana tiana
mmh! mmh!

handao anay aloha ianao anio izao
ny tenanay no tsy ho anilanao
fa ny fo sy saina mahatsiahy 
ny momba anao
aza manadino anay tena tia anao

he! aza hadinonao indrindra
izay rehetra niarahatsika
rehefa tafita ianao any aoriana
aza hadinonao mihitsy
izay natao ho fifampitondrana 
ny fahazazana ny hatanorana
tsara ny nifanaovatsika
tsy atakalo, tsy ho amidy vola
na ho antitra isika
na koa kana ho sola


handao anay aloha ianao anio izao
ny tenanay no tsy ho anilanao
fa ny fo sy saina mahatsiahy 
ny momba anao
aza manadino anay tena tianao

he! tsaroana sy tadidy
izay rehetra niarahatsika ny
fahazazana  ny hatanorana
tsaroana sy tadidy
ny andro rehetra nianaratsika
tsy hanao adalana
mmh!
tsy afaka ahy ny hanihaninao
teny mamy tsy misy toy izany 
oh oh oh        --------"
117,poopy,"Mitadiava ianao
Mandritra ny fiainanao
Tsy hadalainao raha izaho
Fa tsy hahita akory ianao
Olona iray nitia anao tahaka ahy
Mbola tia sy ho tia anao

Tsy hisy hahafoy
Toy izay nomeko anao
Na afaka hanambara
f’izaho ho leo anao
Mitombo isanandro ny fitiavako anao
Ny omaly resin’ny anio

Tsy hihazona anao aho
Satria tiako hahita ianao
F’izaho irery no mbola tena tia
Fantatro fa tsy hahita any ianao

Tsy misy hanam-po
Ny haben’ny foko tia
Hafoiko hatramin’ny aiko
Raha ilaina ho anao
Hanam-paharetana aho
Izaho irery no hahay
Hahazaka ny tsy mety ataonao

Source: http://www.multimania.com/schmilblik/fitia.html        --------"
118,poopy,"Aza manahy na matahotra,
Fa na ho sarotra,
Tsy ho irery akory ianao,
F'izaho anilanao.

Efa nanome toky aho,
Fa tsy hanary anao,
Na misy ny mifamahofaho,
Izaho tsy mba mandao.

Na ny ahiahinao,
Na ny tahotra,
Tantarao dia andao
Hirain'izao
Fa hisinda mora teo.

Marina fa tsy lafatra
Ny fiainana,
Nefa raha isika miaraka
Ts'isy tarainana.

Tamin'ny vao niantomboka
Ny izaho sy ianao,
Dia tena samy roboka,
Tena fitia vao.

'Reo fitsapana marobe
Izay nodiavina,
No maika nanamafy re!
'Lay fitiavana.

Ka ny ahiahinao sy ny tahotrao,
Tantarao dia andao hirain'izao
Fa hisinda mora teo.

Aza manahy na matahotra,
Fa na ho sarotra,
Tsy ho irery mihitsy ianao,
F'izaho tsy handao anao.

Ka ny ahiahinao sy ny tahotrao,
Tantarao dia andao hirain'izao
Fa hisinda mora teo.

Aza manahy na matahotra,
Fa na ho sarotra,
Tsy ho irery mihitsy ianao,
F'izaho tsy handao anao.

Tsy ho irery ianao!!        --------"
119,poopy,"MIFALIA
Mifalia, dia ataovy ampy  anao
Ireo izay tia, ka mankamamy anao
Mifalia dia hatanjao ny fo
F’ireo tsy tia, tsy maintsy misy koa avy eo ivoho

Mifalia, aza atao mahagaga anao
Ireo tsy tia, fa izy koa toa anao
Mba misy tsy tia, na dia mody tsy mahalala
Toy izany akia, hatrany ampiandohana

Indraindray ianao, tsy mahalala
Izay mety ho antony, ankahalany
Indraindray koa,toa mba variana
Raha tena tiany ianao , tsy hay oe nahoana !

Mifalia, dia ataovy ampy  anao
Ireo izay tia, ka mankamamy anao
Mifalia, dia ataovy izay tsy ialany
Ireo izay tia, ho tia hatrany hatrany

Raha tsy misy tonga lafatra aza
Mifalia, rehefa misy tia
Fa ny tsara indrindra rehefa voalaza
Ilay fitia, dia mahasambatra ery

Fa tsy misy na iray iany aza
Tena tia an’izao tontolo izao
Ilay Avo indrindra, avy any ambony aza
Misy tsy tia, sy be mpanenjika ery

Mifalia, ataovy ampy  anao
Ireo ‘zay tia, omeo fitia avy aminao
Mifalia, ataovy ampy ho anao
Ireo ‘zay tia omeo ny mamy avy aminao

Nananana… nananana …nananana…        --------"
120,poopy,"Mifalia dia ataovy ampy anao
ireo izay tia
Ka makamamy anao ô
Mifalia dia atanjaho ny fo
F’ireo tsy tia
Tsy maintsy misy koa 
Avy eo ivoha

Mifalia aza atao mahagaga anao
Ireo tsy tia
Fa izy koa toa anao
Mba misy tsy tia
Na dia mody tsy mahalala
Toy izany akia
Hatrany am-piandohana

Indraindray ianao
Tsy mahalala
Izay hoe  ty antony
Ankahalana 
Indraiandray koa 
Toa mba vadiny
Raha tena tiany ianao
Tsy hay hoe nahoana

Mifalia dia ataovy ampy anao
Ireo izay tia
Ka makamamy anao 
Mifalia dia ataovy izay tsy hialan’
Ireo izay tia
Ho tia hatrany hatrany

Na tsy misy tonga lafatra aza
Mifalia rehefa misy tia
Fa ny tsara indrindra
Efa voalaza
Ilay fitia dia mahasambatra éry

Fa tsy misy na iray any aza
Tena tian’izao tontolo izao
’Lay Avo indrindra 
Avy any ambony aza
Misy tsy tia sy be mpanenjika éry

Mifalia dia ataovy ampy anao
Ireo izay tia omeo fitia avy aminao
Mifalia ataovy ampy ho anao
Ireo izay tia omeo ny mamy avy aminao        --------"
121,poopy,"Toa lany henatra efa tsy menatra e!
                       He izato ianao mbola mizahozaho
                       Kanefa hita anie f’efa vita hatreo
                       Raha ny momba anao fa tofoka aho
                       Toa lany fahendrena mihenahena
                       Efa tsy tiana tsy mahay mangina 
1-Ny tenanao aza tsy omenao haja
  Ka nahoana izaho no hihaino anao

2-Sao dia heverinao
  Ho very fanahy toa anao anie aho


           Reo hadalanao tsy niafina tamiko
           Nihafy ihany aho,maika ianao e!
           Nihamafy fo
           Eh!eh! Fay lany andro aho
           Niandry anao mba hiova hay moa
           Tsisy fetra ny setrasetra toa zary toetranao


           Teo hatrizay e!tsy hita izay mba vitanao
           Raha ny toky efa voky ny resakao  aho
           Eh! eh! fay ampy izay
           Tsaratsara tsy miaraka
           Avelao aho hanatsara ny fiainako sy ny ho aviko.

Auteur    : POOPY
COmpositeur: NAIVO        --------"
122,poopy,"Tsy mety afa-po raolombelona
Mandeha mampiasa loha tsy mahay mihonona
Tsy mety ho afa-po raolombelona
Mitady be kokoa noho izay an-tanana

Indro lasa mahavatra toa manao ny tsy fanao
Mba hitovy na hihoatra ny hafa
Na ny fomba ho enti-manana aza toa tsy rariny
Rehefa azo izay ilaina ampy izay

Indraindray mampanahy lasa lavitra
Mihoa-pefy ny atao mba ho toa ny tianao
Mihoava toetra tsy voafetra izany fanirianao
Ny hafa toa tsy maintsy tsindrina
Dia mamono eritreritra mihitsy moa ianao
Fa tsy maintsy hitovy amin’ny hafa
Toa adino ny rehetra tsara izay natoro anao
fa mahery izany fanirianao        --------"
123,poopy,"Toa tsy mora kay hoy ianao
Ny mitaiza manabe itony zanaka
Fiainana hafa indray no hiainana
Toa ny mianatra mandeha
Misalasala ianao
Dia mila ho kivy indraindray
Ahoana ihany ilay mba ho efa ihany ve
Ny adidinay

Izy anie tsy naniry ny ho ety
Ka rariny raha toloranao fitia
Ho vatsy ho entiny
Hanoy ny fiainany
Izy anie tsy naniry ny ho ety
Kanefa tsy maintsy hiatrika ny dia
Ka mila anao ho tia
Sy mba ho namany

Mila fiainana ampy fitia
Ampandroso tsara hatrany ny fanahiny
Toa ilainy koa indraindray
Misafidy izay aleha
Tsy mila tantana Ka mila faharetana
Tsy hay refesina
Fa tsy izay ao an-dohanao
No an-tsainy koa

Izy anie tsy naniry ny ho ety
Ka rariny raha toloranao fitia
Ho vatsy ho entiny
Hanoy ny fiainany
Izy anie tsy naniry ny ho ety
Kanefa tsy maintsy hiatrika ny dia
Ka mila anao ho tia
Sy mba ho namany

Tsy ampy raha ny hoe
Mibedibedy fotsiny
F’ilainy indrindra ianao
Hitantana sy ahatoky

Ts’isy naniry ny ho ety
Tsy ho tolorana fitia
Ho vatsy entiny
Hanoy ny fiainany
Izy anie tsy naniry ny ho ety
Kanefa tsy maintsy hiatrika ny dia
Ka mila anao ho tia
Sy mba ho namany

Tsy ampy raha ny hoe
Mibedibedy fotsiny
F’ilainy indrindra ianao
Hitantana sy ahatoky

Source: http://www.multimania.com/schmilblik/tena-nam.html#1        --------"
124,poopy,"Nihiratra ianao ka nifoha tamin’ny torimasonao
Gaga ianao fa tsy tao ilay nofidinao
Mba hitantana anao amin-dàlan-tsarotra
F’efa lasa nandao nidify lavitra
Fa toa adinony avokoa irony toky fitaka
Izy nisitaka

Ny sitrapony vitany nefa ianao feheziny
Ilay fahafahanao toa nitsahiny
Tsy tsaroany fa ireo toky sy dina
Nentiny nambabo anao
Hay rotsirotsy fotsiny hampatory anao
Hitanao izao f’ilay fitiavany
Dia tsy natolony ho anao fa ho an’ny tenany

Soa fa nihiratra ianao ary teo no tsapanao
Fa hay ilay fiainanao nataony kilalao
Ka ilay taratra tonga mba nanaitra anao
Nohezahiny indray ataony kitroka
Izay nifikitra aminao satria mantsy ao aminao
Ny mamy tavaniny



http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
125,poopy,"TSY NETY

Nihintsana nefa mba felana namony
Nantenaiko handrombona eny
Ho endriky ny saha
Toa nihintsana nefa tsy hitombo intsony
Tsy mba nety namony 
Toy ny vony namelana

Ilay sombiniaiko
No nandao ahy tsy fidiny
Raha sitrakao ry raiko
Avereno ahy
Fa mafy loatra ny manjo ahy
Toa tsy ho tantin’ny saiko
Ny hizaka ny ngidiny
Izay mety hiseho tsy haiko
Avereno ahy
Fa mafy loatra ny manjo ahy

Nilentika Ilay masoandro nantenaiko
Mba hanazava ilay akany
Nokasaiko ho namana
Fa lasana ilay hazavana lalaiko
Ka indro tomany ny foko torovana

POOPY        --------"
126,poopy,"Nihintsana nefa mba felana namony
Nantenaiko handrombona eny
Ho endriky ny saha
Toa nihintsana nefa tsy hitombo intsony
Tsy mba nety namony 
Toy ny vony namelana

Ilay sombiniaiko
No nandao ahy tsy fidiny
Raha sitrakao ry raiko
Avereno ahy
Fa mafy loatra ny manjo ahy
Toa tsy ho tantin’ny saiko
Ny hizaka ny ngidiny
Izay mety hiseho tsy haiko
Avereno ahy
Fa mafy loatra ny manjo ahy

Nilentika Ilay masoandro nantenaiko
Mba hanazava ilay akany
Nokasaiko ho namana
Fa lasana ilay hazavana lalaiko
Ka indro tomany ny foko torovana


http://www.multimania.com/schmilblik/ANDAOHANDIHY.html        --------"
127,poopy,"Variana, variana mijery
Ny fombafomabn’ny hafa
Tavela, tavela irery
Nilaozan’ny omby niahaka
Fa ny tany miodina ihany
Mandalo, mandalo ny fiainana
Lany andro mitsikera
Ny an’ny tena tsy hita

Ho aiza, ho aiza
No tena be fitrena
Ny làlana anefa iray
Alao mora fa sao mora tola
Ny aina tsy roa fa iray

Malama, malama ny làlana
Kanefa ianao tsy mijery
Ny mety, ny mety hifaharana
Ka indro fa potrak’irery
Fa ny andro misosa ihany
Ny resaka anie tsy ho lany
Izay vita toa tsy hita
Fa mitakoritsika ihany

http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
128,poopy,"Na sarotra ny lalana haleha
Tsy hahasakana ahy tsy handeha
Na enjika, na latsa eso koa
Tsy mampaninona
Navesatra ny efa nentiko
Toky foana no nasetriko
Tsy taitra aho f’ireo izay ratsy loha
Sa nampivadi-po
Ho tsinotsinona

Tompo o! ankiniko aminao
Ny fiainako sy izay rehetra mikasika ahy
Aoka Ianao hitantana tsy handao
N’inon’inona hanjo
Na ho sarotra tokoa
Matoky Anao aho ka tsy manahy

Matoky Anao izahay
Miandry ny marina
Fantatray ianao fa tsy miangatra
Tompo o! miandrandra anao izahay
Miandry ny rariny
Tsy manahy ny fanahy manana Anao.        --------"
129,poopy,"Be mpitady raha ianao
Be mpitsiriritra koa ianao
Eran-tany ny lazanao
Tsy misy olona tsy mila anao

Misy moa aza andevozinao
Mirotoroto isan’andro izao
Miala maraina mitady anao
Mody ny hariva mbola an-doha ianao

Asa loatra re ny herinao
Fa manjaka amin’ny olona
Moramora re ny tiana hatao
Raha mitoetra tsy mandalo ianao

Azo izay ilaina raha eo ianao
Mety ny atao rehefa eo ianao
Misy moa aza ny manompo anao
Mololoha anao amin’ny fiainana

Eny tena ekena tsy misy hifanerena
Fa avo avo ihany lahy no misy anao
Manontany tena aho, he manontany tena
Hoe aiza amin’ny fiainana ny toeranao

Vola vola no anaranao
Mampanjakazaka izay hatao
Vola vola no iantsoana anao
Lanadanaka ny tsy ampy anao

Mivoha ho azy ny varavarana
Raha ianao no mialoha làlana
Asa hatraiza re ny vitanao
Ho tonganao ve any an-danitra        --------"
130,poopy,"Though I’ve been hurt by love before
I’ve always dreamed there would more
Than words whispered in the dark
That leave behind no love for me
I’ve prayed for someone to be true
To walk beside and to belong to
Till I found you I didn’t think
That it could ever be

I will love you and adore you
I will trust you with my dreams
When darkness comes be close to you
What ever life may bring

I will walk with you and share
With you our light from up above
Oh teach my heart the joy of you
Oh teach me true love

Toroy aho ahay hitia
Ampio mba ho mendrika
Tahio aharitra ho doria
F’aza avelanao ho rendrika
Ny fitia avy aminao
Fa faniriana ihany ny ahy
Apetrako eo an-tànanao
Ny foko mino tsy manahy

The morning brings our wedding day
And so upon my knees I pray
That God will light my way to you
And guide me trhough the dark night
With tender love and dignity
You take away my vanity
So I will always have the strength
To know what is right

Now I’m standing by your side
My heart is filled with love and pride
God will bless our wedding ring
I sing this song of love for him

http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
131,poopy,"ZANDRY 
Album ""Mifameno"" - Août 2003

Androany ianao no tratry ny faha-enim-bolana
Mibadabada, mitehaka, miantso an’I Dada
Ka faly I Dada (02)
Hatramin’izay moa dia ny nonon’i Neny
No nankafizinao sy nahazatra anao ô ry Zandry a!


Androany amin’izay dia hiova ny fomba fiainanao
Manomboka miampy izao ny fivelomanao
Hitombo ny sakafo mba hivelaranao
Hahita tsiron-javam-baovao
Toy ny kobam-bary, ovy nopotserina
Totom-boanjo, patsa,
Trondro sy anana
Hena sy legioma sy voan-kazo koa
Ankafihizo fa soa ho anao


Aza manahy ianao rehefa hatory
Satria ny nonon-dreny tsy hajanona akory
Fa hitohy, sy mbola ho ela
Ireny rehetra ireny no omena anao
Satria tian’I Neny Hitombo saina sy vatana ianao
Ary ho salama

Androany amin’izay dia hiova ny fomba fiainanao
Manomboka miampy izao ny fivelomanao
Hitombo ny sakafo mba hivelaranao
Hahita tsiron-javam-baovao
Toy ny kobam-bary, ovy nopotserina
Totom-boanjo, patsa,
Trondro sy anana
Hena sy legioma sy voan-kazo koa
Ankafihizo fa soa ho anao


Omeo sakafo ny zaza
Fa feno enim-bolana ny zaza
Omeo sakafo ny zanakao
Fa feno enim-bolana ny zanakao

Auteur: Poopy / Tovo         
Compositeur: Naivo        --------"
132,poopy,"Nijery aho ka nahita, Fa maro no maniry
Ny fiainany ho tafita, Ahazo izay iriany
Toa zava-poana ihany izany Tompo ô !
Raha tsy eo ny fitahianao
F’iray minitra fotsiny ihany Tompo ô !
No amongoranao izany
Fiadanana mandalo, fifaliana tsy mitoetra
Fahasambarana miserana, Zany no anjaranay

Izay harena eto an-tany, mora simba mora lany
Ny fitia miovaova, toetra ratsy zary lova
Toa zava-poana ihany izany tompo ô !
Raha tsy eo ny fitahianao, f’iray minitra fotsiny ihany tompo ô !
No amongoranao izany
F’izay rehetra anananay, izay rehetra iainanay
Zava-poana avokoa, raha tsy avy aminao tokoa

Toa zava-poana ihany izany tompo ô !
Raha tsy eo ny fitahianao, f’iray minitra fotsiny ihany tompo ô !
No amongoranao izany
F’izay rehetra anananay, izay rehetra iainanay
Zava-poana avokoa, raha tsy avy aminao tokoa

Tsy misy fiadanan-tsaina raha tsy ao aminao
Fankafanahy karakaina, izay tsy mandray ny teninao
Izay rehetra ananay, izay rehetra iainanay
Dia zava-poana avokoa, raha tsy avy aminao tokoa


Avy aminao tokoa …        --------"
133,bodo,"Sasa-miandry azy eo ianao
Angamba izy efa lasa lavitra
Nandalo teto efa ho ora iray
Izy nanao veloma tsy niherika
Nitsikitsiky fatratra
Niakanjo tena tonga lafatra
Raha izaho no toa anao
Dia nandeha aho fa izy tsy ho avy

’Ndao handihy hiaraka amiko
Fa izay lasa any an-kafa tsy hiverina intsony,
Malakia ho tantanako
Fa ny anio sy ny ampitso tsy hitovy intsony.

Iza moa no anaranao ?
Mba tiako ho fantatra ka mba lazao.
Raha mba te-hiantso anao
Afaka omenao ve ny nomerao ?
Rehefa hariva dia hateriko ianao
Hateriko eny am-baravarana,
Ary ny ampitso indray
Ka izaho tsy hampiandry ela anao.

’Ndao handihy...        --------"
134,bodo,"Afaka ny Tahotro,
Voafidy ankehitriny
Tsy mba manana ahiahy
Fa ianao dia ahy

Tsy mety afaka ao an-doha
Efa mifikitra tsy miala
Ianao foana foana
No mameno ny andro rehetra

Tsy mila tamby,
Tsy mila valiny,na vetin-teny ho renesiko
Tsy resena lahatra aho,na omena fahafaham-po
ampitony ahy
Anilanao tanteraka aho mandrakizay
F'ianao mantsy efa ato anaty
Tsy mba manam-paharoa

Anilanao tsy mba mangina
Izay atao dia mahaliana ahy
Ianao no ambeti-teny
Miverina matetika
Oh Oh Oh Oh
hm hm hm hm

Tsy mila tamby,
Tsy mila valiny,na vetin-teny ho renesiko
Tsy resena lahatra aho,na fahafaham-po
ampitony ahy
Anilanao tanteraka aho mandrakizay
F'ianao mantsy efa ato anaty
Tsy mba manam-paharoa

Afaka ny tahotro…        --------"
135,bodo,"Ny fitiavantsika roa
Kanto tokoa
Nofinofy mamy soa
Tsy mba ho lo
Embona mameno fo
Tsisy ahiahy
Mety hampanahy
Ny androntsika hatramin’izao
Tanana tsy mifandao

Aina miray
Tsy vaky lay
Toa ‘ty sy ‘nday
Lakam-pitia
Fo mifangia
Miara-dia

Mpihira : bodo
Tonony : Haingo
Feony : Beranto        --------"
136,bodo,"Ambarambarao amin'ny dada
Ambarambarao amin'ny neny
ny hafalianao
Lazalazao an'ikaky, lazalazao an'i neny
ny alahelonao

Tsy zaka irery ny fiainana
Ianao anie zanaka tiana

Ambarambarao amin'i dada
Ambarambarao amin'i neny
Fa tia ianao
Lazalazao an'ikaky, lazalazao an'i neny
ny alahelonao

Fa izy anie nandao anao.
Nandratra ka saro-sitranina
Avia re sombinaiko, an-tratrako
F'omeko anao ny hery rehetra ananako

Tambitamby avy amin'i dada
Tambitamby avy amin'i neny
no iononanao
Fitiavana tsy arahan-datsa 
Fitiavana tsy arahan-teny
No nitokianao.
Ka nanome fiononana
Aza tomany fa tsy irery ianao.

Avia re sombinaiko an-tratrako
F'omeko anao ny hery rehetra ananako
Tsy zaka irery ny fiainana
Ianao anie zanaka tiana        --------"
137,bodo,"Dia kotsan-dranomaso indray
Ny tavako andraony.
Voafitaky ny foko
Henika fitia,
Zay toa mibatabitaka 
Miandry anao ho avy
Kinanjo dia nangaina
Tsy nahavery dia. 

                            Ampamoizo aho
                            Fa mafy sy mangidy
                            Ny miambina isan’andro
                            Ny antsonao tsy ho avy
                            Ampamoizo aho
                            fa tebiteby foana
                            Ny miandry ilay "" TSIA""
                            Tsy hamonjy ny fotoana
                            Indray ianao
                            Anio
Dia miezaka hampangiana
Hampangiana anao
Ry foko mitoloko 
Henika fitia
Kanefa dia miboika
Toa tsy misy fetra
Ny emboka fitia
Apololoitranao

                           Ampamoizo aho
                           ...................
                           ...................

Raha vao mandre ny anarany
Ny mombamomba azy ianao
Tsy mahalala fahafatesana
Fa tia hatramin’ny farany

                          Ampamoizo aho
                          ..................

Tonony :Bodo
Feony  :Bodo



                                            --------"
138,bodo,"Aza atamberinao ny omalintsika teo iny 
Na te handre aza tsy tantko 
Izaho ’lay nilaozanao, ny antony tsy hay 
Efa im-piry aho no voa toa izay 
     Ireo toetra ratsinao, maneho fa tsy tia ahy 
     Voa maika koa mitana ny fitiavako hivay 
     Aza miala tsiny ianao, na miteny hoe tsy nahy 
     Satria aho efa tomany indray 
Ampy ahy izay 
Ianao ’lay tsy foiko 
Ankahalaiko 
Na tsy ho afaka ato an-tsaiko 
     Aza mikasia ahy na kpoa manontany 
     Ny tambitambinao no ziogako 
     Ny orako fanaonao ary ny teny mamy 
     Avalony ndrao mambabo ahy          --------"
139,bodo,"Toa fanaperana aho hoy ianao
Fa toa anjely aho imasonao
Tsy izaho no tsara fa ny fitiavanao
Tsy izaho no anjely fa ianao
Sy ny fonao tia
     Meva fitafy aho voalazanao
     Voatenona tsara sy vaovao
     Fitafy tsara raha ny fitiavanao
     Voatenona tsara ny toky izay
     Nomenao ahy
Manan-danja aho eo aminao
Izaho no mpanjaka hoy ianao
Zinona izao rehetra izao
Satria izao no ao am-ponao
Izay aleha toa misy anao
Na ny mosika aza hira ho anao
Ny eritreritro any aminao
Satria ianao no ao am-poko ao        --------"
140,bodo,"Misy olona mitomany 
Hitanao any ho any
Mahatsiaro ho resin’ny fiainana
Ka velona ny taraina
Mahatsiaro ho potraka tokoa 
Nefa atao ahoana moa
Izay angamba no anjaranao
Sa ny vintana no tsy tao
Iza no ahalala ny ratsy vitanao ety an-tany
Misafidy foana ianao
Ho velona sa ho faty
Mahatsiaro ho potraka tokoa
Nefa atao ahoana moa 
K’aza kivy toa izao 
Andriamanitra anie homba anao
Ankino tanteraka 
Fa aza manaiky ho reraka
Ho tafita foana ianao
Rehefa ao ilay Tompo Andriamanitrao
F’Izy no manampy anao 
Rehefa manatona Azy ianao 
Satria ny Ray, Ray, Ray 
Mahavitra ny tsirairay

Mpihira : bodo
Tonony : bodo
Feony : dôsa        --------"
141,bodo,"Aoka izay ngidinao
O! ry vintako tsy tsara
Fa ifonako tokoa
Maty aho fa mitsahara
Midaraboka mianjera efa tsy maharin-tena
Asanao raha dia ho sahy 
Irony tsindry hazo lena

      He ’ty hoditry ny foko
      Miepakepaka tsy nahy
      Fa voarangotrao daholo
      Na ny saiko na fanahy
      Dian’antsy dia-nify 
      No natentinao ny foko
      Dray ry vintako malala 
      Manafotra ahy ny mitoloko

Asanao ry vintako
Maty aho aminao e
Asanao tokoa tokoa
Asanao dia asanao
Raha hijery ity toloko 
Apotrapotrako tsy miato
Na ho faly ny hatoriako
Eo am-parafara vato.

Lahatsoratra: Rabehajaina Justin        --------"
142,bodo,"Tsora-kazo mifamaho
Efa firy no nitranga teny an-dalanodiaviko
Tao ny orana mitraho
Tao ny tsikin’andro manga
Nefa samy nodiaviko
Ary nisy fijaliana tsy nampoiziko tokoa
Nizahana toetra ahy
Saingy tamim-pifaliana
No nandraisako azy ho soa
Mampiorona fanahy
      Ref:Tsy hoe izaho no tsy mahatsiaro
           Raha tsy de mikaikaika 
           Amin’ny ratram-po sy feriko
           Fa ianao Jeso
           Miaro ny finoako tsy hiraika
           Ka ny herinao no heriko        --------"
143,bodo,"Ataoko ahoana moa
manakoako tsy hay tohaina
nokitraninao hifoha ity
lasako feno taraina

Ataoko ahoana nefa
mitamberina ny tantara
ny rahona nandalo 
nofy ratsy tsisy mpahalala

Tsy ho haiko ho adinoina
tsy ho voarara
ny hitanisa ireto voina
arahim-peon-gitara

Tsy maninona moa
fa fahatsiarovana no sisa
ny diam-patsiky ny omaly ve
manolatra izy dia tsy hita

Ataoko ahoana nefa
mitamberina ny tantara
ny rahona mandalo 
nofy ratsy tsisy mpahalala        --------"
